name;genre;type
Aiuchi, Rina;J-pop;musician
Ajico;J-pop;band
Akanishi, Jin;J-pop;musician
Akashi, Momoka;J-pop;musician
AKB48;J-pop;band
Akeboshi;J-pop;band
Akishibu Project;J-pop;band
Aki, Angela;J-pop;musician
AC/DC;blues rock;band
Aerosmith;blues rock;band
Jim Allchin;blues rock;musician
Bernard Allison;blues rock;musician
The Allman Brothers Band;blues rock;band
Devon Allman;blues rock;musician
Duane Allman;blues rock;musician
Gregg Allman;blues rock;musician
American Blues;blues rock;band
Jake Andrews;blues rock;musician
A-fu;C-pop;musician
A-Lin;C-pop;musician
A-mei;C-pop;musician
A-Sun;C-pop;musician
AGA;C-pop;musician
Alan Dawa Dolma;C-pop;musician
Priscilla Chan;C-pop;musician
Angela Chang;C-pop;musician
Deserts Chang;C-pop;musician
Cheer Chen;C-pop;musician
Kelly Chen;C-pop;musician
183 Club;C-pop;band
2moro;C-pop;band
4 in Love;C-pop;band
5566;C-pop;band
A-One;C-pop;band
at17;C-pop;band
BEJ48;C-pop;band
Beyond;C-pop;band
BoBo;C-pop;band
BonBon Girls;C-pop;band
Boy Story;C-pop;band
Alabama (1976);country rock;band
Jason Aldean;country rock;musician
The Allman Brothers Band;country rock;band
Amazing Rhythm Aces;country rock;band
Atlanta Rhythm Section;country rock;band
The Bacon Brothers;country rock;band
The Band;country rock;band
The Band Perry;country rock;band
Casey Barnes;country rock;musician
Big & Rich;country rock;band
Blackberry Smoke;country rock;band
Blackfoot;country rock;band
Blue Rodeo;country rock;band
BR549;country rock;band
Brothers Osborne;country rock;band
Buffalo Springfield;country rock;band
Jimmy Buffett;country rock;musician
The Byrds;country rock;band
